frame,timestamp,emotion,ear_avg_raw,mar_raw,smile_coeff_raw,mouth_width_raw,brow_dist_raw,mouth_asymmetry_raw,upper_lip_raise_raw,ear_avg_smooth,mar_smooth,smile_coeff_smooth,mouth_width_smooth,brow_dist_smooth,mouth_asymmetry_smooth,upper_lip_raise_smooth
1,1777970342003,Neutral,0.28639,0.00675,-0.01343,0.33386,0.15003,0.00787,0.08465,0.28639,0.00675,-0.01343,0.33386,0.15003,0.00787,0.08465
2,1777970342069,Neutral,0.27965,0.00417,-0.01244,0.33414,0.13894,0.00424,0.07795,0.28437,0.00597,-0.01313,0.33394,0.1467,0.00678,0.08264
3,1777970342103,Neutral,0.28697,0.00374,-0.0131,0.33275,0.13649,0.00186,0.0745,0.28515,0.0053,-0.01312,0.33358,0.14364,0.00531,0.0802
4,1777970342136,Neutral,0.28553,0.00325,-0.013,0.33545,0.13467,0.00258,0.07357,0.28526,0.00469,-0.01308,0.33414,0.14095,0.00449,0.07821
5,1777970342171,Neutral,0.28568,0.00336,-0.01248,0.33506,0.13446,0.00263,0.07266,0.28539,0.00429,-0.0129,0.33442,0.139,0.00393,0.07655
6,1777970342204,Neutral,0.28442,0.00307,-0.01176,0.33579,0.1345,0.00361,0.07325,0.2851,0.00392,-0.01256,0.33483,0.13765,0.00384,0.07556
7,1777970342236,Neutral,0.28964,0.00343,-0.01132,0.33876,0.13449,0.00471,0.07336,0.28646,0.00378,-0.01219,0.33601,0.1367,0.0041,0.0749
8,1777970342269,Neutral,0.28947,0.00387,-0.01184,0.33857,0.13539,0.00617,0.07311,0.28736,0.0038,-0.01208,0.33678,0.13631,0.00472,0.07436
9,1777970342303,Neutral,0.28737,0.00376,-0.01176,0.33967,0.13508,0.00828,0.07434,0.28736,0.00379,-0.01199,0.33765,0.13594,0.00579,0.07435
10,1777970342337,Neutral,0.28968,0.00324,-0.01225,0.33846,0.13484,0.00888,0.07453,0.28806,0.00363,-0.01206,0.33789,0.13561,0.00672,0.07441
11,1777970342369,Neutral,0.29338,0.0034,-0.01214,0.33728,0.13496,0.00914,0.07509,0.28966,0.00356,-0.01209,0.33771,0.13542,0.00744,0.07461
12,1777970342404,Neutral,0.30056,0.00209,-0.0111,0.33916,0.13565,0.00748,0.07553,0.29293,0.00312,-0.01179,0.33814,0.13549,0.00745,0.07489
13,1777970342436,Sad,0.30091,0.00162,-0.00947,0.33566,0.13799,0.00675,0.07549,0.29532,0.00267,-0.01109,0.3374,0.13624,0.00724,0.07507
14,1777970342469,Sad,0.30022,0.00229,-0.00817,0.33563,0.13864,0.00506,0.07627,0.29679,0.00256,-0.01022,0.33687,0.13696,0.00659,0.07543
15,1777970342503,Sad,0.30122,0.00208,-0.00706,0.3323,0.13802,0.00435,0.07775,0.29812,0.00241,-0.00927,0.3355,0.13728,0.00592,0.07612
16,1777970342536,Sad,0.30302,0.00223,-0.0076,0.33558,0.13811,0.00623,0.07616,0.29959,0.00236,-0.00877,0.33552,0.13753,0.00601,0.07614
17,1777970342571,Sad,0.30474,0.00232,-0.00661,0.33404,0.13626,0.00504,0.07672,0.30114,0.00235,-0.00812,0.33508,0.13715,0.00572,0.07631
18,1777970342604,Sad,0.28555,0.00285,-0.00586,0.33122,0.13604,0.00301,0.07829,0.29646,0.0025,-0.00744,0.33392,0.13682,0.00491,0.0769
19,1777970342637,Sad,0.29852,0.00241,-0.00598,0.33236,0.13325,0.00305,0.07771,0.29708,0.00247,-0.007,0.33345,0.13575,0.00435,0.07715
20,1777970342669,Sad,0.30728,0.00182,-0.0052,0.33136,0.13073,0.00324,0.07748,0.30014,0.00228,-0.00646,0.33282,0.13424,0.00402,0.07725
21,1777970342737,Sad,0.3164,0.00274,-0.0054,0.33086,0.1282,0.00389,0.07829,0.30502,0.00242,-0.00614,0.33223,0.13243,0.00398,0.07756
22,1777970342771,Sad,0.32051,0.00277,-0.0057,0.33063,0.12642,0.004,0.07702,0.30967,0.00252,-0.00601,0.33175,0.13063,0.00399,0.0774
23,1777970342803,Sad,0.32461,0.00269,-0.00549,0.33097,0.12541,0.00436,0.07674,0.31415,0.00257,-0.00585,0.33152,0.12906,0.0041,0.0772
