frame,timestamp,emotion,ear_avg_raw,mar_raw,smile_coeff_raw,mouth_width_raw,brow_dist_raw,mouth_asymmetry_raw,upper_lip_raise_raw,ear_avg_smooth,mar_smooth,smile_coeff_smooth,mouth_width_smooth,brow_dist_smooth,mouth_asymmetry_smooth,upper_lip_raise_smooth
1,1777810730836,Sad,0.3404,0.01567,-0.00285,0.35224,0.12416,0.00083,0.09316,0.3404,0.01567,-0.00285,0.35224,0.12416,0.00083,0.09316
2,1777810730903,Sad,0.3453,0.01163,-0.00033,0.35205,0.12122,0.00094,0.08742,0.34187,0.01446,-0.0021,0.35218,0.12328,0.00086,0.09144
3,1777810730969,Sad,0.34817,0.00723,0.0015,0.35191,0.11907,0.00106,0.0842,0.34376,0.01229,-0.00102,0.3521,0.12201,0.00092,0.08927
4,1777810731038,Sad,0.35156,0.00661,0.00203,0.35091,0.11761,0.00158,0.08412,0.3461,0.01059,-0.0001,0.35174,0.12069,0.00112,0.08772
5,1777810731103,Sad,0.35268,0.00543,0.00245,0.34967,0.11635,0.00162,0.08413,0.34807,0.00904,0.00066,0.35112,0.11939,0.00127,0.08664
6,1777810731170,Sad,0.35317,0.00409,0.00292,0.34972,0.11592,0.00158,0.08418,0.3496,0.00756,0.00134,0.3507,0.11835,0.00136,0.08591
7,1777810731236,Sad,0.35417,0.00356,0.00308,0.34947,0.1156,0.00154,0.08429,0.35097,0.00636,0.00186,0.35033,0.11752,0.00142,0.08542
8,1777810731304,Sad,0.35537,0.00296,0.00343,0.3494,0.11551,0.00154,0.08424,0.35229,0.00534,0.00233,0.35005,0.11692,0.00145,0.08507
9,1777810731371,Neutral,0.35727,0.00246,0.00365,0.3493,0.11536,0.00158,0.08426,0.35379,0.00447,0.00273,0.34983,0.11645,0.00149,0.08482
10,1777810731436,Neutral,0.35817,0.00242,0.00369,0.34925,0.11512,0.00153,0.08436,0.3551,0.00386,0.00302,0.34966,0.11605,0.0015,0.08468
11,1777810731503,Neutral,0.36078,0.00198,0.00395,0.34914,0.11491,0.00123,0.08451,0.35681,0.00329,0.0033,0.3495,0.11571,0.00142,0.08463
12,1777810731569,Neutral,0.36263,0.00228,0.00369,0.34909,0.11446,0.0016,0.08445,0.35855,0.00299,0.00341,0.34938,0.11533,0.00148,0.08458
13,1777810731636,Neutral,0.36692,0.00246,0.0034,0.34865,0.11401,0.00152,0.08494,0.36106,0.00283,0.00341,0.34916,0.11494,0.00149,0.08469
14,1777810731702,Neutral,0.36922,0.0022,0.00366,0.34838,0.11387,0.00138,0.08479,0.36351,0.00264,0.00348,0.34892,0.11462,0.00146,0.08472
15,1777810731769,Neutral,0.37072,0.00222,0.00384,0.3482,0.11364,0.00201,0.08514,0.36567,0.00252,0.00359,0.34871,0.11432,0.00162,0.08484
16,1777810731835,Neutral,0.36884,0.00182,0.00407,0.34814,0.11486,0.00205,0.08461,0.36662,0.00231,0.00374,0.34854,0.11448,0.00175,0.08477
17,1777810731902,Neutral,0.35937,0.00174,0.00389,0.34824,0.11637,0.0017,0.08404,0.36445,0.00214,0.00378,0.34845,0.11505,0.00174,0.08455
18,1777810731969,Neutral,0.35803,0.00199,0.00415,0.34832,0.11677,0.00154,0.08412,0.36252,0.0021,0.00389,0.34841,0.11556,0.00168,0.08442
19,1777810732036,Neutral,0.3543,0.0024,0.00447,0.34832,0.11744,0.00195,0.08348,0.36005,0.00219,0.00407,0.34838,0.11613,0.00176,0.08414
20,1777810732102,Neutral,0.35555,0.00237,0.00458,0.34824,0.11714,0.0029,0.08368,0.3587,0.00224,0.00422,0.34834,0.11643,0.0021,0.084
21,1777810732169,Neutral,0.35894,0.00227,0.00458,0.34847,0.11685,0.00305,0.08244,0.35877,0.00225,0.00433,0.34838,0.11656,0.00239,0.08353
22,1777810732236,Neutral,0.35914,0.00251,0.0041,0.34826,0.11723,0.00417,0.08289,0.35888,0.00233,0.00426,0.34834,0.11676,0.00292,0.08334
23,1777810732302,Neutral,0.35654,0.0026,0.0039,0.3483,0.11729,0.00502,0.08344,0.35818,0.00241,0.00415,0.34833,0.11692,0.00355,0.08337
24,1777810732369,Neutral,0.35992,0.00291,0.00403,0.34848,0.11645,0.00451,0.08418,0.3587,0.00256,0.00412,0.34837,0.11678,0.00384,0.08361
25,1777810732436,Neutral,0.36163,0.00322,0.00473,0.3476,0.11565,0.00452,0.08422,0.35958,0.00276,0.0043,0.34814,0.11644,0.00404,0.0838
26,1777810732502,Neutral,0.35751,0.00287,0.00488,0.34728,0.11629,0.00346,0.08454,0.35896,0.00279,0.00447,0.34788,0.11639,0.00387,0.08402
