frame,timestamp,emotion,ear_avg_raw,mar_raw,smile_coeff_raw,mouth_width_raw,brow_dist_raw,mouth_asymmetry_raw,upper_lip_raise_raw,ear_avg_smooth,mar_smooth,smile_coeff_smooth,mouth_width_smooth,brow_dist_smooth,mouth_asymmetry_smooth,upper_lip_raise_smooth
1,1777817720473,Neutral,0.29785,0.00221,-0.00171,0.34523,0.12942,0.00881,0.09051,0.29785,0.00221,-0.00171,0.34523,0.12942,0.00881,0.09051
2,1777817720570,Neutral,0.21241,0.00181,0.0015,0.34401,0.14518,0.00893,0.09313,0.27221,0.00209,-0.00075,0.34486,0.13415,0.00885,0.09129
3,1777817720607,Neutral,0.10205,0.00225,0.00221,0.34442,0.16317,0.00888,0.09184,0.22116,0.00214,0.00014,0.34473,0.14285,0.00886,0.09146
4,1777817720670,Neutral,0.05766,0.00288,0.00265,0.34325,0.17037,0.00785,0.08987,0.17211,0.00236,0.00089,0.34429,0.15111,0.00855,0.09098
5,1777817720704,Neutral,0.08251,0.00353,0.00317,0.3424,0.1653,0.00651,0.08956,0.14523,0.00271,0.00158,0.34372,0.15537,0.00794,0.09055
6,1777817720737,Neutral,0.10798,0.00354,0.00309,0.34292,0.16291,0.00772,0.08784,0.13406,0.00296,0.00203,0.34348,0.15763,0.00787,0.08974
7,1777817720771,Neutral,0.13994,0.00374,0.00331,0.34325,0.15737,0.00791,0.08726,0.13582,0.00319,0.00242,0.34341,0.15755,0.00788,0.08899
8,1777817720804,Contempt,0.17935,0.00383,0.00368,0.34421,0.15005,0.00854,0.08655,0.14888,0.00339,0.0028,0.34365,0.1553,0.00808,0.08826
9,1777817720870,Contempt,0.25082,0.00352,0.00414,0.34533,0.13712,0.0084,0.08588,0.17946,0.00342,0.0032,0.34415,0.14985,0.00818,0.08755
10,1777817720904,Contempt,0.27772,0.00366,0.0042,0.34531,0.13269,0.00831,0.08553,0.20894,0.0035,0.0035,0.3445,0.1447,0.00822,0.08694
11,1777817720970,Neutral,0.29996,0.00346,0.0047,0.34494,0.12935,0.00721,0.08516,0.23624,0.00349,0.00386,0.34463,0.1401,0.00791,0.08641
12,1777817721004,Contempt,0.30939,0.0034,0.00464,0.34502,0.12955,0.00863,0.08283,0.25819,0.00346,0.00409,0.34475,0.13693,0.00813,0.08534
13,1777817721037,Contempt,0.31346,0.00324,0.00441,0.34423,0.13174,0.01053,0.0804,0.27477,0.00339,0.00419,0.34459,0.13538,0.00885,0.08386
14,1777817721071,Contempt,0.31822,0.0031,0.00426,0.34351,0.13429,0.00887,0.07881,0.28781,0.00331,0.00421,0.34427,0.13505,0.00885,0.08234
15,1777817721104,Contempt,0.31738,0.00316,0.00543,0.34601,0.13643,0.00889,0.07908,0.29668,0.00326,0.00457,0.34479,0.13546,0.00886,0.08136
16,1777817721137,Contempt,0.31146,0.00297,0.00517,0.3452,0.13923,0.00955,0.07971,0.30111,0.00318,0.00475,0.34491,0.13659,0.00907,0.08087
17,1777817721170,Contempt,0.31061,0.00279,0.00483,0.34446,0.1396,0.00652,0.08098,0.30396,0.00306,0.00478,0.34478,0.13749,0.0083,0.0809
18,1777817721204,Contempt,0.30552,0.00275,0.00333,0.34592,0.13977,0.00802,0.08129,0.30443,0.00297,0.00434,0.34512,0.13818,0.00822,0.08102
19,1777817721270,Contempt,0.30228,0.00308,0.00328,0.34444,0.14069,0.00867,0.08187,0.30378,0.003,0.00403,0.34492,0.13893,0.00835,0.08127
20,1777817721304,Contempt,0.30311,0.00281,0.00301,0.34402,0.13936,0.00767,0.08389,0.30358,0.00295,0.00372,0.34465,0.13906,0.00815,0.08206
21,1777817721370,Neutral,0.30776,0.00298,0.0036,0.34252,0.13944,0.00719,0.08522,0.30483,0.00296,0.00368,0.34401,0.13917,0.00786,0.08301
22,1777817721403,Neutral,0.3105,0.00302,0.00379,0.34195,0.13951,0.00643,0.08574,0.30653,0.00297,0.00372,0.34339,0.13928,0.00743,0.08383
