frame,timestamp,emotion,ear_avg_raw,mar_raw,smile_coeff_raw,mouth_width_raw,brow_dist_raw,mouth_asymmetry_raw,upper_lip_raise_raw,ear_avg_smooth,mar_smooth,smile_coeff_smooth,mouth_width_smooth,brow_dist_smooth,mouth_asymmetry_smooth,upper_lip_raise_smooth
1,1777810847512,Neutral,0.29005,0.00214,-0.00638,0.33682,0.13452,1e-05,0.08665,0.29005,0.00214,-0.00638,0.33682,0.13452,1e-05,0.08665
2,1777810847613,Neutral,0.29355,0.00161,-0.00329,0.3436,0.13344,0.00374,0.0835,0.2911,0.00198,-0.00545,0.33886,0.13419,0.00113,0.08571
3,1777810847681,Neutral,0.29976,0.00161,-0.00201,0.34398,0.13199,0.0054,0.08289,0.2937,0.00187,-0.00442,0.34039,0.13353,0.00241,0.08486
4,1777810847746,Neutral,0.3038,0.00167,-0.00152,0.34573,0.13074,0.00598,0.08295,0.29673,0.00181,-0.00355,0.34199,0.1327,0.00348,0.08429
5,1777810847812,Neutral,0.30591,0.0019,-0.00142,0.34587,0.1306,0.0059,0.08263,0.29948,0.00184,-0.00291,0.34316,0.13207,0.00421,0.08379
6,1777810847846,Neutral,0.30664,0.00197,-0.00122,0.34582,0.13052,0.00548,0.08251,0.30163,0.00188,-0.0024,0.34396,0.1316,0.00459,0.08341
7,1777810847879,Neutral,0.30763,0.00193,-0.00099,0.34537,0.13043,0.00463,0.08222,0.30343,0.00189,-0.00198,0.34438,0.13125,0.0046,0.08305
8,1777810847945,Neutral,0.30807,0.00187,-0.00087,0.34448,0.13049,0.00384,0.08229,0.30482,0.00188,-0.00164,0.34441,0.13102,0.00437,0.08282
9,1777810847979,Neutral,0.30815,0.00202,-0.00068,0.34395,0.13033,0.0043,0.08282,0.30582,0.00192,-0.00136,0.34427,0.13081,0.00435,0.08282
10,1777810848012,Neutral,0.30859,0.00202,-0.00055,0.34354,0.13013,0.00433,0.0829,0.30665,0.00195,-0.00111,0.34405,0.13061,0.00435,0.08284
11,1777810848079,Neutral,0.30966,0.00216,-0.00075,0.3436,0.12959,0.00369,0.08277,0.30755,0.00202,-0.001,0.34392,0.13031,0.00415,0.08282
12,1777810848113,Neutral,0.31249,0.00203,-0.00061,0.34248,0.12644,0.00321,0.08283,0.30903,0.00202,-0.00089,0.34349,0.12914,0.00387,0.08282
13,1777810848179,Neutral,0.33215,0.00182,-0.00037,0.34098,0.12216,0.00354,0.08373,0.31597,0.00196,-0.00073,0.34273,0.12705,0.00377,0.0831
14,1777810848245,Neutral,0.34039,0.00184,-0.00072,0.33979,0.12049,0.00366,0.08373,0.3233,0.00192,-0.00073,0.34185,0.12508,0.00374,0.08329
15,1777810848279,Neutral,0.34214,0.00181,-0.00066,0.33973,0.11941,0.00387,0.08376,0.32895,0.00189,-0.00071,0.34121,0.12338,0.00378,0.08343
16,1777810848313,Sad,0.34676,0.00189,-0.00071,0.34005,0.11818,0.00415,0.08362,0.33429,0.00189,-0.00071,0.34087,0.12182,0.00389,0.08349
17,1777810848347,Sad,0.35242,0.00185,-0.00068,0.34008,0.11738,0.00444,0.08353,0.33973,0.00188,-0.0007,0.34063,0.12049,0.00405,0.0835
18,1777810848411,Sad,0.35593,0.00186,-0.00102,0.34066,0.11692,0.00477,0.0833,0.34459,0.00187,-0.0008,0.34064,0.11942,0.00427,0.08344
19,1777810848445,Sad,0.35652,0.00184,-0.00112,0.3406,0.11673,0.0048,0.08335,0.34817,0.00186,-0.00089,0.34063,0.11861,0.00443,0.08341
20,1777810848478,Sad,0.35621,0.00185,-0.00124,0.34023,0.11659,0.00491,0.08341,0.35058,0.00186,-0.001,0.34051,0.118,0.00457,0.08341
