frame,timestamp,emotion,ear_avg_raw,mar_raw,smile_coeff_raw,mouth_width_raw,brow_dist_raw,mouth_asymmetry_raw,upper_lip_raise_raw,ear_avg_smooth,mar_smooth,smile_coeff_smooth,mouth_width_smooth,brow_dist_smooth,mouth_asymmetry_smooth,upper_lip_raise_smooth
38,1777817770201,Happy,0.33577,0.00233,0.01085,0.36225,0.11899,0.00295,0.08347,0.33481,0.00227,0.01092,0.36408,0.11964,0.0034,0.0829
39,1777817770266,Happy,0.33659,0.00215,0.01096,0.36266,0.11923,0.00392,0.08351,0.33535,0.00223,0.01093,0.36365,0.11952,0.00356,0.08308
40,1777817770301,Happy,0.33412,0.00206,0.01109,0.36327,0.12026,0.00445,0.08372,0.33498,0.00218,0.01098,0.36354,0.11974,0.00382,0.08327
41,1777817770334,Happy,0.33397,0.00205,0.01092,0.36381,0.12042,0.00396,0.08338,0.33468,0.00214,0.01096,0.36362,0.11994,0.00386,0.08331
42,1777817770368,Happy,0.33325,0.00228,0.01171,0.36455,0.12111,0.00417,0.08295,0.33425,0.00218,0.01119,0.3639,0.12029,0.00396,0.0832
43,1777817770434,Happy,0.33229,0.00274,0.02213,0.38405,0.12007,0.00854,0.0805,0.33366,0.00235,0.01447,0.36995,0.12022,0.00533,0.08239
44,1777817770467,Happy,0.32993,0.00288,0.03032,0.39981,0.12,0.00866,0.0776,0.33254,0.00251,0.01922,0.3789,0.12016,0.00633,0.08095
45,1777817770500,Happy,0.32898,0.01258,0.03098,0.40586,0.11924,0.0106,0.07272,0.33147,0.00553,0.02275,0.38699,0.11988,0.00761,0.07848
46,1777817770535,Happy,0.32705,0.05172,0.02946,0.4211,0.11917,0.00767,0.06806,0.33015,0.01939,0.02476,0.39722,0.11967,0.00763,0.07536
47,1777817770601,Happy,0.32501,0.09595,0.02716,0.438,0.11877,0.0018,0.06294,0.3286,0.04236,0.02548,0.40946,0.1194,0.00588,0.07163
48,1777817770666,Happy,0.32132,0.11445,0.02685,0.44968,0.11882,0.0032,0.06169,0.32642,0.06399,0.02589,0.42152,0.11922,0.00508,0.06865
49,1777817770700,Happy,0.3192,0.12243,0.02616,0.45498,0.11865,0.00283,0.06094,0.32425,0.08152,0.02597,0.43156,0.11905,0.0044,0.06634
50,1777817770733,Happy,0.31806,0.12834,0.02572,0.45945,0.11849,0.00218,0.06017,0.3224,0.09557,0.0259,0.43993,0.11889,0.00374,0.06448
51,1777817770767,Happy,0.31638,0.13625,0.0248,0.46032,0.11833,0.00158,0.05934,0.32059,0.10777,0.02557,0.44605,0.11872,0.00309,0.06294
52,1777817770799,Happy,0.31497,0.14128,0.02418,0.46101,0.11814,0.00133,0.05936,0.3189,0.11782,0.02515,0.45053,0.11854,0.00256,0.06187
53,1777817770835,Happy,0.3132,0.14788,0.02283,0.46286,0.11802,0.00129,0.05908,0.31719,0.12684,0.02446,0.45423,0.11839,0.00218,0.06103
54,1777817770899,Happy,0.30869,0.15523,0.0224,0.46665,0.11789,0.00027,0.0596,0.31464,0.13536,0.02384,0.45796,0.11824,0.00161,0.0606
55,1777817770933,Happy,0.3079,0.15823,0.02235,0.46905,0.11772,0.00056,0.05983,0.31262,0.14222,0.02339,0.46129,0.11808,0.00129,0.06037
56,1777817770966,Happy,0.30676,0.16063,0.02202,0.47026,0.11772,0.00045,0.06,0.31086,0.14774,0.02298,0.46398,0.11797,0.00104,0.06026
57,1777817771000,Happy,0.30637,0.16435,0.02165,0.47084,0.11773,0.00038,0.06014,0.30951,0.15273,0.02258,0.46604,0.1179,0.00084,0.06022
58,1777817771033,Happy,0.30633,0.16453,0.02137,0.47138,0.11778,0.00028,0.0601,0.30856,0.15627,0.02222,0.46764,0.11787,0.00067,0.06019
59,1777817771068,Happy,0.30547,0.16466,0.02131,0.47223,0.11768,0.00021,0.06016,0.30763,0.15878,0.02195,0.46902,0.11781,0.00053,0.06018
60,1777817771134,Happy,0.30499,0.16445,0.02137,0.47307,0.11766,0.00035,0.06019,0.30684,0.16048,0.02177,0.47023,0.11777,0.00048,0.06018
61,1777817771200,Happy,0.30489,0.16515,0.02138,0.4722,0.11709,0.00049,0.06022,0.30625,0.16188,0.02165,0.47082,0.11756,0.00048,0.06019
62,1777817771234,Happy,0.30516,0.165,0.02139,0.47232,0.11681,0.00051,0.06023,0.30592,0.16282,0.02157,0.47127,0.11734,0.00049,0.0602
63,1777817771300,Happy,0.30487,0.16552,0.02173,0.47162,0.11665,0.00067,0.06027,0.30561,0.16363,0.02162,0.47138,0.11713,0.00054,0.06022
64,1777817771333,Happy,0.30533,0.16557,0.02218,0.47106,0.11646,0.0002,0.06029,0.30552,0.16421,0.02179,0.47128,0.11693,0.00044,0.06024
65,1777817771367,Happy,0.3059,0.165,0.02284,0.47021,0.11637,0.00014,0.06032,0.30564,0.16445,0.0221,0.47096,0.11676,0.00035,0.06027
66,1777817771433,Happy,0.30309,0.16213,0.02372,0.4689,0.11609,0.00038,0.05978,0.30487,0.16375,0.02259,0.47034,0.11656,0.00036,0.06012
67,1777817771467,Happy,0.30183,0.16202,0.02397,0.46858,0.11611,0.00047,0.05981,0.30396,0.16323,0.023,0.46981,0.11643,0.00039,0.06003
68,1777817771535,Happy,0.29823,0.16143,0.02429,0.46718,0.1165,6e-05,0.06036,0.30224,0.16269,0.02339,0.46902,0.11645,0.00029,0.06013
69,1777817771599,Happy,0.30019,0.16083,0.02396,0.4663,0.11666,0.00013,0.05954,0.30163,0.16213,0.02356,0.46821,0.11651,0.00024,0.05995
70,1777817771633,Happy,0.3018,0.15996,0.02379,0.46609,0.11671,0.00024,0.05923,0.30168,0.16148,0.02363,0.46757,0.11657,0.00024,0.05974
71,1777817771665,Happy,0.3035,0.15978,0.02375,0.4659,0.11657,0.0003,0.05905,0.30223,0.16097,0.02366,0.46707,0.11657,0.00026,0.05953
72,1777817771699,Happy,0.30467,0.15956,0.02348,0.46552,0.1164,0.00037,0.05903,0.30296,0.16055,0.02361,0.4666,0.11652,0.00029,0.05938
73,1777817771732,Happy,0.30591,0.15895,0.02343,0.46515,0.11628,0.00033,0.05906,0.30384,0.16007,0.02356,0.46617,0.11645,0.0003,0.05928
74,1777817771767,Happy,0.30749,0.15704,0.02336,0.46485,0.1163,0.0002,0.0591,0.30494,0.15916,0.0235,0.46577,0.1164,0.00027,0.05923
75,1777817771833,Happy,0.30671,0.15125,0.02351,0.46238,0.11668,0.00034,0.05923,0.30547,0.15678,0.0235,0.46476,0.11649,0.00029,0.05923
76,1777817771866,Happy,0.30662,0.14832,0.02328,0.46053,0.11658,0.00059,0.0594,0.30581,0.15424,0.02343,0.46349,0.11651,0.00038,0.05928
77,1777817771899,Happy,0.30511,0.14593,0.02333,0.45976,0.11686,0.00116,0.05944,0.3056,0.15175,0.0234,0.46237,0.11662,0.00062,0.05933
78,1777817771933,Happy,0.3054,0.14344,0.02329,0.45927,0.11682,0.00139,0.05939,0.30554,0.14926,0.02337,0.46144,0.11668,0.00085,0.05935
79,1777817771967,Happy,0.30493,0.14233,0.0233,0.45891,0.11683,0.00163,0.05953,0.30536,0.14718,0.02335,0.46068,0.11672,0.00108,0.0594
80,1777817772000,Happy,0.30519,0.14185,0.02341,0.45876,0.11673,0.00189,0.05953,0.30531,0.14558,0.02337,0.4601,0.11673,0.00132,0.05944
81,1777817772067,Happy,0.3061,0.14147,0.02345,0.45848,0.11694,0.00203,0.05978,0.30555,0.14435,0.02339,0.45962,0.11679,0.00154,0.05954
82,1777817772134,Happy,0.30736,0.14056,0.02344,0.45803,0.11665,0.00204,0.05964,0.30609,0.14321,0.0234,0.45914,0.11675,0.00169,0.05957
83,1777817772198,Happy,0.30833,0.14,0.02343,0.45763,0.11652,0.00216,0.05938,0.30676,0.14225,0.02341,0.45869,0.11668,0.00183,0.05951
84,1777817772233,Happy,0.30876,0.13974,0.02344,0.45768,0.11647,0.00219,0.05933,0.30736,0.1415,0.02342,0.45838,0.11662,0.00194,0.05946
